reference_name,start_range,end_range,count,total_count,proportion,z_score
JYDI01000002.1,453000,479000,189,1076,0.17565055762081785,7.4262806572206905
JYDI01000269.1,18000,40000,782,1238,0.6316639741518578,7.267289281978674
JYDI01000058.1,184000,213000,940,2172,0.43278084714548803,6.717004971997163
JYDI01000013.1,318000,341000,104,650,0.16,5.626372667921573
JYDI01000275.1,20000,47000,19624,33899,0.5788961326292811,16.904783836117602
JYDI01000245.1,37000,62000,980,2143,0.45730284647690156,6.249192438835093
JYDI01000061.1,108000,130000,121,439,0.275626423690205,5.119866138606869
JYDI01000037.1,159000,264000,267,1082,0.24676524953789278,5.090251790108127
JYDI01000007.1,363000,388000,204,828,0.2463768115942029,5.95954029325026
JYDI01000028.1,186000,209000,313,604,0.5182119205298014,5.114372817083452
JYDI01000009.1,200000,224000,62,245,0.2530612244897959,6.592604843028163
JYDI01000010.1,226000,254000,58,525,0.11047619047619048,5.018252916516149
