reference_name,start_range,end_range,count,total_count,proportion,z_score
KQ034227.1,670000,692000,42,468,0.08974358974358974,5.463371027153565
KQ034437.1,265000,289000,36,304,0.11842105263157894,5.853636230001652
KQ034238.1,706000,730000,207,1784,0.11603139013452915,8.665894933962836
KQ034178.1,791000,812000,38,554,0.06859205776173286,6.088814598933624
KQ034113.1,1293000,1315000,28,635,0.04409448818897638,5.063571381259572
KQ034183.1,87000,108000,38,621,0.061191626409017714,5.417482044238565
KQ034056.1,2213000,2236000,36,4678,0.007695596408721676,6.619341507481533
KQ034349.1,237000,265000,32,342,0.0935672514619883,8.077271114527223
KQ034067.1,2458000,2480000,35,1034,0.033849129593810444,6.455779878377121
KQ034083.1,2578000,2599000,28,1006,0.027833001988071572,5.913634768509197
KQ034482.1,276000,299000,36,176,0.20454545454545456,5.18474328019844
KQ034151.1,916000,942000,32,724,0.04419889502762431,5.44006151516147
KQ034070.1,703000,726000,30,1057,0.02838221381267739,5.905144130192123
KQ034058.1,7579000,7601000,38,2299,0.01652892561983471,7.5193825941610335
KQ034059.1,2446000,2468000,46,1669,0.02756141402037148,8.10580420003172
KQ034451.1,170000,191000,70,238,0.29411764705882354,6.955723430583143
KQ034169.1,1245000,1267000,48,475,0.10105263157894737,6.491324521195883
KQ034156.1,378000,415000,36,705,0.05106382978723404,5.127754390813549
KQ034096.1,316000,337000,37,1180,0.03135593220338983,5.071274078126469
KQ034431.1,143000,164000,30,285,0.10526315789473684,5.131046356742637
KQ034099.1,467000,489000,31,1153,0.026886383347788378,5.803209044220085
KQ034085.1,2098000,2120000,29,922,0.031453362255965296,5.41450967174306
KQ034056.1,468000,493000,32,4678,0.006840530141085934,5.797137672504747
KQ034137.1,1317000,1352000,26,390,0.06666666666666667,6.3956541099042505
KQ034191.1,520000,546000,33,297,0.1111111111111111,6.974660963014641
KQ034342.1,712000,735000,23,176,0.13068181818181818,5.468977166567526
KQ034383.1,274000,301000,15,161,0.09316770186335403,5.496562429844669
KQ034124.1,1467000,1489000,36,641,0.056162246489859596,5.184519629358652
KQ034412.1,212000,234000,39,205,0.1902439024390244,5.849085638698388
KQ034250.1,149000,171000,14,222,0.06306306306306306,5.003641150030491
KQ034181.1,1020000,1042000,36,751,0.047936085219707054,5.836846634274612
KQ034154.1,913000,996000,35,753,0.04648074369189907,5.648495776992008
KQ034223.1,689000,714000,21,375,0.056,5.719716721627498
KQ034100.1,366000,387000,26,711,0.03656821378340366,6.1285410666618185
KQ034105.1,1865000,1886000,44,1045,0.042105263157894736,8.785755531534814
KQ034158.1,1064000,1085000,24,569,0.0421792618629174,5.03629501301949
KQ034212.1,226000,255000,42,463,0.09071274298056156,7.100005932485877
KQ034082.1,557000,593000,36,1318,0.027314112291350532,5.085342038521393
KQ034080.1,692000,724000,30,799,0.03754693366708386,5.6256999157897445
KQ034210.1,342000,366000,32,224,0.14285714285714285,7.508424015855441
KQ034126.1,1282000,1303000,26,702,0.037037037037037035,5.149541017663718
KQ034096.1,1791000,1813000,40,1180,0.03389830508474576,5.5389556186337074
KQ034059.1,5104000,5129000,47,1669,0.02816057519472738,8.2973967063547
KQ034382.1,507000,536000,34,176,0.19318181818181818,6.644691554783238
KQ034367.1,333000,355000,32,331,0.09667673716012085,6.6100110258054565
KQ034056.1,13229000,13264000,37,4678,0.00790936297563061,6.824892466225729
KQ034064.1,781000,802000,37,1757,0.02105862265224815,5.540027758291625
KQ034157.1,776000,797000,26,664,0.0391566265060241,5.219017282165113
KQ034059.1,3485000,3521000,30,1669,0.017974835230677052,5.040324098864048
KQ034095.1,663000,684000,29,804,0.036069651741293535,5.039676193559204
KQ034126.1,1676000,1701000,28,702,0.039886039886039885,5.609321465669407
KQ034108.1,1730000,1756000,30,752,0.0398936170212766,5.341624871745677
KQ034244.1,415000,436000,26,472,0.05508474576271186,5.112975297498443
KQ034061.1,3666000,3687000,33,1382,0.023878437047756874,5.586853838325398
KQ034244.1,673000,695000,26,472,0.05508474576271186,5.112975297498443
KQ034112.1,1156000,1190000,34,557,0.06104129263913824,5.678151917255851
KQ034366.1,419000,442000,30,216,0.1388888888888889,6.24365458265941
KQ034378.1,89000,111000,107,439,0.2437357630979499,6.605764200290134
KQ034148.1,1048000,1079000,56,677,0.0827178729689808,8.150853818422892
KQ034097.1,170000,202000,55,1132,0.04858657243816254,9.010403832826432
KQ034256.1,572000,593000,38,510,0.07450980392156863,5.901897266163625
KQ034130.1,1215000,1236000,42,968,0.04338842975206612,5.577944178367461
KQ034101.1,398000,420000,45,680,0.0661764705882353,8.404865183632204
KQ034060.1,3840000,3861000,34,1467,0.023176550783912748,5.493758260246841
KQ034250.1,339000,360000,14,222,0.06306306306306306,5.003641150030491
KQ034160.1,661000,687000,29,524,0.05534351145038168,6.769257118201802
KQ034421.1,0,20000,35,142,0.24647887323943662,5.1828547489391985
KQ034058.1,1831000,1854000,30,2299,0.013049151805132666,5.76993732281386
KQ034074.1,46000,76000,30,991,0.030272452068617558,5.079701040124122
KQ034066.1,2634000,2664000,36,1058,0.034026465028355386,6.726397941228192
KQ034132.1,291000,313000,33,691,0.04775687409551375,5.817963333861294
KQ034070.1,17000,47000,26,1057,0.02459791863765374,5.010999375460093
KQ034233.1,160000,183000,39,476,0.0819327731092437,5.49551068082781
KQ034129.1,357000,380000,34,1188,0.02861952861952862,5.308703609610374
KQ034073.1,917000,939000,43,1354,0.03175775480059084,6.8578435398464475
KQ034340.1,412000,470000,31,282,0.1099290780141844,5.59561452165126
KQ034279.1,574000,635000,32,529,0.06049149338374291,5.989338845658578
KQ034332.1,335000,389000,37,218,0.16972477064220184,6.2271692757562445
