Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
repeat element protein-d7.3 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,363,675,12%,6e-110,76.57,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031326.1?report=genbank&log$=prottop&blast_rank=1&RID=3270ZWC6013"",""YP_001031326.1"")"
repeat element protein-d7.2 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,354,652,12%,1e-106,68.56,242,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031325.1?report=genbank&log$=prottop&blast_rank=2&RID=3270ZWC6013"",""YP_001031325.1"")"
repeat element 33 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,350,674,11%,2e-105,70.42,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY22033.1?report=genbank&log$=prottop&blast_rank=3&RID=3270ZWC6013"",""AHY22033.1"")"
repeat element 32 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,347,663,11%,4e-104,69.71,243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71682.1?report=genbank&log$=prottop&blast_rank=4&RID=3270ZWC6013"",""ULM71682.1"")"
repeat element 31 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,346,633,12%,7e-104,74.06,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY22031.1?report=genbank&log$=prottop&blast_rank=5&RID=3270ZWC6013"",""AHY22031.1"")"
repeat element 31 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,341,634,12%,4e-102,72.80,238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71681.1?report=genbank&log$=prottop&blast_rank=6&RID=3270ZWC6013"",""ULM71681.1"")"
repeat element 30 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,293,623,12%,3e-85,66.99,254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71680.1?report=genbank&log$=prottop&blast_rank=7&RID=3270ZWC6013"",""ULM71680.1"")"
repeat element protein-d7.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,282,544,12%,2e-81,60.70,255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031323.1?report=genbank&log$=prottop&blast_rank=8&RID=3270ZWC6013"",""YP_001031323.1"")"
repeat element 32 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,259,597,11%,2e-73,59.45,245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY22032.1?report=genbank&log$=prottop&blast_rank=9&RID=3270ZWC6013"",""AHY22032.1"")"
f3.2 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,232,552,11%,3e-64,54.19,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF45626.1?report=genbank&log$=prottop&blast_rank=10&RID=3270ZWC6013"",""BAF45626.1"")"
c7-1.1 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,228,600,12%,1e-62,56.22,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF45598.1?report=genbank&log$=prottop&blast_rank=11&RID=3270ZWC6013"",""BAF45598.1"")"
f3.3 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,221,533,11%,3e-60,55.61,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF45627.1?report=genbank&log$=prottop&blast_rank=12&RID=3270ZWC6013"",""BAF45627.1"")"
