reference_name,start_range,end_range,count,total_count,proportion,z_score
NW_019392733.1,44000,65000,55,688,0.07994186046511628,7.34411160386797
NW_019392944.1,322000,345000,218,371,0.5876010781671159,6.338649257567872
NW_019392887.1,213000,235000,53,565,0.09380530973451327,5.817284348459665
NW_019392785.1,46000,113000,47,1623,0.02895871842267406,6.562864219008696
NW_019392649.1,2852000,2877000,85,1055,0.08056872037914692,7.49812606657785
NW_019394228.1,1274000,1298000,75,616,0.12175324675324675,8.66984203211772
NW_019392667.1,2900000,2922000,30,674,0.04451038575667656,6.069638323874204
NW_019392776.1,284000,313000,55,475,0.11578947368421053,5.008042146588279
NW_019392656.1,3740000,3761000,40,855,0.04678362573099415,5.934492810179125
NW_019392665.1,183000,204000,30,1963,0.015282730514518594,5.442821977028109
NW_019392674.1,1351000,1376000,50,609,0.08210180623973727,8.421219594508461
NW_019392659.1,146000,226000,50,858,0.05827505827505827,7.894153717205593
NW_019392639.1,1300000,1324000,35,744,0.04704301075268817,5.364341623176982
NW_019392677.1,3747000,3772000,92,1367,0.06730065837600585,12.675128110503062
NW_019392922.1,1213000,1239000,48,378,0.12698412698412698,6.284841026938707
NW_019392695.1,209000,230000,39,497,0.07847082494969819,6.821105934736485
NW_019392741.1,137000,159000,236,418,0.5645933014354066,6.719024574560063
NW_019392993.1,598000,625000,52,1611,0.03227808814400993,5.080484340641151
NW_019392758.1,81000,107000,5658,6086,0.9296746631613539,8.602300774761149
NW_019392645.1,864000,886000,112,969,0.11558307533539731,5.1957552865490175
NW_019392836.1,1136000,1158000,33,395,0.08354430379746836,5.187298967392803
NW_019392993.1,600000,624000,72,1611,0.0446927374301676,7.314757699740883
NW_019392666.1,2860000,2882000,32,453,0.0706401766004415,5.887024818391139
NW_019392688.1,2279000,2334000,56,1340,0.041791044776119404,7.780964722469986
NW_019392673.1,2608000,2629000,63,1437,0.04384133611691023,8.627662253135782
NW_019392728.1,19000,41000,83,642,0.1292834890965732,6.72911845094732
NW_019392801.1,256000,278000,313,782,0.40025575447570333,10.352225989608671
NW_019392658.1,300000,328000,100,426,0.2347417840375587,7.615212393014498
NW_019392689.1,3147000,3173000,31,644,0.04813664596273292,5.663866510741545
NW_019392738.1,637000,709000,37,854,0.04332552693208431,5.55735211679134
NW_019392723.1,2436000,2457000,566,1616,0.3502475247524752,9.511108203772052
NW_019394230.1,656000,678000,206,942,0.21868365180467092,9.038028733658388
NW_019392768.1,1407000,1428000,353,930,0.3795698924731183,11.93542248502438
NW_019392800.1,1048000,1073000,632,794,0.7959697732997482,6.552722990712012
NW_019392754.1,1622000,1643000,25,1314,0.01902587519025875,5.125373862920904
NW_019392772.1,1111000,1133000,143,521,0.2744721689059501,7.024463091066695
NW_019392665.1,1867000,1889000,32,1963,0.0163015792154865,5.854473375441416
NW_019392705.1,0,28000,61,1113,0.05480682839173405,6.117236903155903
NW_019392763.1,1282000,1303000,54,674,0.08011869436201781,7.182819052421552
NW_019392664.1,2164000,2185000,42,1019,0.04121687929342493,5.626174422213979
NW_019392667.1,1564000,1613000,36,674,0.05341246290801187,7.440728348629499
NW_019392779.1,1274000,1301000,33,303,0.10891089108910891,6.866817021416091
NW_019392730.1,970000,991000,28,543,0.05156537753222836,5.606000322754984
NW_019392803.1,598000,626000,545,1052,0.5180608365019012,7.007758538154941
NW_019392719.1,1072000,1094000,160,538,0.29739776951672864,8.835911887031562
NW_019392660.1,1456000,1477000,69,413,0.16707021791767554,6.282306089724398
NW_019392754.1,1710000,1733000,26,1314,0.0197869101978691,5.367110416433804
NW_019392813.1,1442000,1500000,65,2048,0.03173828125,5.486996229666992
NW_019392754.1,380000,401000,26,1314,0.0197869101978691,5.367110416433804
NW_019392664.1,3121000,3196000,40,1019,0.03925417075564279,5.320848251020785
NW_019392810.1,735000,756000,44,423,0.10401891252955082,5.540471474362833
NW_019392882.1,1393000,1438000,40,460,0.08695652173913043,5.644949130788268
NW_019392723.1,2435000,2456000,355,1616,0.21967821782178218,5.889982306893002
NW_019392665.1,3557000,3578000,36,1963,0.018339276617422313,6.67777617226803
NW_019392668.1,409000,430000,47,617,0.07617504051863858,5.870702879579049
NW_019392644.1,33000,59000,132,1052,0.12547528517110265,6.0681588267711835
NW_019392647.1,620000,648000,39,502,0.07768924302788845,5.6209418356547145
NW_019392679.1,2477000,2499000,34,885,0.0384180790960452,5.699726864172384
NW_019392875.1,761000,782000,35,689,0.05079825834542816,6.772756387252576
NW_019392639.1,1578000,1600000,33,744,0.04435483870967742,5.011510383650116
NW_019392637.1,2035000,2147000,217,2420,0.0896694214876033,9.947284559197495
NW_019393011.1,3427000,3460000,28,790,0.035443037974683546,5.166047165023961
NW_019392668.1,408000,429000,46,617,0.07455429497568881,5.732228282525081
NW_019392681.1,337000,372000,34,393,0.08651399491094147,5.1397890255686836
NW_019392885.1,133000,157000,1464,3235,0.45255023183925813,6.0735634574654815
NW_019392881.1,1037000,1065000,28,378,0.07407407407407407,5.198252386806354
NW_019392756.1,723000,745000,55,551,0.0998185117967332,7.449339153702182
NW_019392760.1,839000,860000,145,400,0.3625,6.0359552867873045
NW_019392765.1,493000,514000,93,773,0.1203104786545925,7.67193981751027
NW_019392955.1,576000,690000,68,358,0.18994413407821228,6.0355427863362925
NW_019392702.1,74000,96000,92,427,0.2154566744730679,7.27602589570941
NW_019392683.1,480000,525000,132,840,0.15714285714285714,11.769706950469818
NW_019392665.1,2179000,2205000,29,1963,0.014773306164034642,5.236996277821457
NW_019393011.1,1522000,1552000,33,790,0.04177215189873418,6.238325758668474
NW_019392738.1,1589000,1620000,41,854,0.04800936768149883,6.240728427306162
NW_019392644.1,34000,57000,215,1052,0.20437262357414449,10.090565221371929
NW_019392654.1,220000,242000,57,399,0.14285714285714285,5.675554775805165
NW_019392665.1,1301000,1327000,33,1963,0.016811003565970453,6.06029907464807
NW_019392635.1,2290000,2311000,31,484,0.0640495867768595,6.288721286618548
NW_019392657.1,1098000,1120000,56,898,0.062360801781737196,6.341706120989745
NW_019392657.1,206000,234000,52,898,0.05790645879732739,5.842153360371363
NW_019392645.1,134000,155000,145,969,0.14963880288957687,6.847773828708067
NW_019392686.1,779000,800000,40,696,0.05747126436781609,6.396183398362383
NW_019392637.1,2037000,2151000,119,2420,0.049173553719008264,5.269992626064103
NW_019392863.1,1030000,1052000,60,406,0.1477832512315271,5.096484739962279
NW_019392905.1,0,12000,362,531,0.6817325800376648,6.219890286252974
NW_019392671.1,2917000,2943000,432,1595,0.270846394984326,9.852232594224585
NW_019392785.1,1328000,1349000,41,1623,0.025261860751694395,5.617287491305588
NW_019392699.1,346000,394000,48,327,0.14678899082568808,5.5328714591534345
NW_019392778.1,397000,421000,50,804,0.06218905472636816,5.901757141041967
NW_019392764.1,496000,518000,1629,2667,0.6107986501687289,12.035311083822641
NW_019392675.1,919000,959000,336,1379,0.2436548223350254,10.634763550262472
NW_019392666.1,492000,575000,34,453,0.07505518763796909,6.301121828601981
NW_019392690.1,2792000,2818000,80,1121,0.07136485280999108,7.4051953737261345
NW_019392637.1,2031000,2146000,132,2420,0.05454545454545454,5.8904497192348595
NW_019392813.1,238000,261000,104,2048,0.05078125,9.131425759704925
NW_019392721.1,2598000,2623000,67,1471,0.045547246770904146,5.1920110503492145
NW_019392631.1,1068000,1090000,37,446,0.08295964125560538,6.368455484120093
NW_019392663.1,370000,392000,59,563,0.10479573712255773,5.202884804435134
NW_019392685.1,805000,826000,49,822,0.05961070559610705,6.122741463390932
NW_019392691.1,1126000,1150000,58,350,0.1657142857142857,7.196302460696746
NW_019392799.1,359000,384000,62,556,0.11151079136690648,6.5165206401668785
NW_019392733.1,3355000,3380000,39,688,0.056686046511627904,5.010394980416635
NW_019392679.1,1975000,1996000,44,885,0.04971751412429379,7.62268606880425
NW_019392783.1,722000,798000,127,762,0.16666666666666666,7.838363813270837
NW_019392653.1,128000,149000,299,781,0.382842509603073,10.51055353905761
NW_019392641.1,1654000,1675000,32,653,0.04900459418070444,5.490104977647994
NW_019392665.1,491000,516000,42,1963,0.021395822720326033,7.912730367507949
NW_019392656.1,16000,45000,37,855,0.04327485380116959,5.429805324520979
NW_019394214.1,217000,239000,78,603,0.12935323383084577,6.646501808731106
NW_019942502.1,118000,189000,20,412,0.04854368932038835,5.170331613224005
NW_019392795.1,1267000,1289000,51,904,0.05641592920353982,5.586078883815017
NW_019392649.1,2851000,2876000,64,1055,0.06066350710900474,5.5059506134349006
NW_019392862.1,163000,189000,60,444,0.13513513513513514,6.773778997667338
NW_019392661.1,555000,585000,63,577,0.10918544194107452,8.308205232107412
NW_019392680.1,417000,458000,36,585,0.06153846153846154,5.07551663476748
NW_019392784.1,646000,670000,695,875,0.7942857142857143,5.289321413054427
NW_019392813.1,1441000,1463000,80,2048,0.0390625,6.888699895066196
NW_019394219.1,5958000,5979000,41,1603,0.025577043044291953,5.523240070583127
NW_019392762.1,359000,382000,52,574,0.09059233449477352,6.781026138401193
NW_019392721.1,1064000,1085000,98,1471,0.06662134602311352,7.819636820106971
NW_019392650.1,715000,740000,56,534,0.10486891385767791,6.8996811874530515
NW_019392648.1,1433000,1462000,86,756,0.11375661375661375,9.570719237891685
NW_019392706.1,1192000,1215000,6567,12718,0.516354772763013,9.938725509543486
NW_019393055.1,199000,221000,119,397,0.29974811083123426,6.526367396451979
NW_019394202.1,260000,284000,50,454,0.11013215859030837,5.41432658504722
NW_019392781.1,619000,658000,72,504,0.14285714285714285,7.886325573683289
NW_019392731.1,3455000,3480000,384,1869,0.20545746388443017,10.914351760193483
NW_019392642.1,436000,457000,33,896,0.036830357142857144,5.109353109433751
NW_019392669.1,1604000,1626000,62,439,0.14123006833712984,6.734554547443892
NW_019392721.1,835000,856000,122,1471,0.08293677770224338,9.853927738629103
