reference_name,start_range,end_range,count,total_count,proportion,z_score
CP080487.1,6055000,6077000,21,751644,0.00002793875824193368,7.11500471984948
CP080486.1,4334000,4356000,27,748843,0.00003605562180590591,5.810561628257773
CP080484.1,4842000,4864000,21,760576,0.00002761065297879502,6.6988086113657
CP080485.1,5973000,5995000,17,703934,0.000024149991334414875,5.607105537600524
CP080488.1,25000,47000,21,673399,0.000031185077494917574,5.861953325805106
CP080487.1,4565000,4587000,16,751644,0.000021286672946235187,5.147219629862248
CP080482.1,781000,811000,22,767096,0.000028679591602615577,6.211381667633069
CP080486.1,1888000,1930000,61,748843,0.00008145899741334299,14.055016166971956
CP080486.1,1874000,1927000,113,748843,0.00015089945422471732,26.664181932064235
CP080483.1,431000,453000,17,749712,0.000022675374010286617,5.645987464144445
CP080486.1,1870000,1923000,126,748843,0.0001682595684275609,29.816473373337306
CP080482.1,2296000,2319000,19,767096,0.000024768738202258907,5.230499780512282
CP080482.1,4778000,4802000,22,767096,0.000028679591602615577,6.211381667633069
CP080482.1,3079000,3101000,19,767096,0.000024768738202258907,5.230499780512282
CP080484.1,4651000,4673000,17,760576,0.000022351480982834063,5.213270285525966
CP080487.1,1157000,1179000,18,751644,0.000023947507064514583,5.9343336658571415
CP080482.1,3140000,3162000,38,767096,0.000049537476404517815,11.442751732277262
CP080488.1,4597000,4622000,102,673399,0.00015147037640388537,32.23402413525639
CP080488.1,4588000,4628000,93,673399,0.00013810534319177783,29.303794045317357
CP080484.1,3347000,3372000,19,760576,0.00002498106698081454,5.956039448445833
CP080485.1,1443000,1465000,16,703934,0.000022729403608861056,5.208476909975228
CP080484.1,3162000,3185000,18,760576,0.000023666273981824302,5.5846548669858995
CP080484.1,6254000,6279000,17,760576,0.000022351480982834063,5.213270285525966
CP080485.1,3302000,3328000,26,703934,0.00003693528086439922,9.194763186228192
CP080482.1,985000,1007000,94,767096,0.00012254007321117565,29.752546958531937
CP080482.1,979000,1002000,79,767096,0.0001029858062093923,24.848137522928006
CP080483.1,1082000,1108000,23,749712,0.000030678447190387775,8.053155832447167
CP080487.1,3254000,3279000,17,751644,0.000022617090005374885,5.540776647859695
CP080485.1,1718000,1740000,19,703934,0.000026991166785522506,6.404362792851117
CP080487.1,411000,433000,17,751644,0.000022617090005374885,5.540776647859695
CP080482.1,3135000,3159000,47,767096,0.00006127003660558782,14.38539739363962
CP080483.1,4743000,4765000,17,749712,0.000022675374010286617,5.645987464144445
CP080482.1,1990000,2014000,20,767096,0.0000260723560023778,5.557460409552545
CP080483.1,3229000,3251000,19,749712,0.000025343065070320335,6.4483769202453525
CP080485.1,5728000,5751000,19,703934,0.000026991166785522506,6.404362792851117
CP080488.1,2328000,2352000,23,673399,0.000034155084875385915,6.51311556801378
CP080482.1,984000,1005000,25,767096,0.00003259044500297225,7.192263554753855
CP080484.1,4313000,4335000,17,760576,0.000022351480982834063,5.213270285525966
CP080487.1,3833000,3856000,16,751644,0.000021286672946235187,5.147219629862248
CP080486.1,1863000,1916000,91,748843,0.00012152079941990511,21.329534877602118
CP080484.1,5733000,5757000,19,760576,0.00002498106698081454,5.956039448445833
CP080488.1,1285000,1311000,29,673399,0.00004306510701679094,8.4666022946398
CP080488.1,3502000,3524000,19,673399,0.000028215070114449233,5.210791083596432
CP080484.1,1358000,1381000,17,760576,0.000022351480982834063,5.213270285525966
CP080482.1,1763000,1785000,19,767096,0.000024768738202258907,5.230499780512282
CP080483.1,5127000,5148000,21,749712,0.000028010756130354057,7.2507663763462595
CP080484.1,88000,110000,20,760576,0.00002629585997980478,6.3274240299057665
CP080483.1,4394000,4416000,17,749712,0.000022675374010286617,5.645987464144445
CP080484.1,1642000,1664000,18,760576,0.000023666273981824302,5.5846548669858995
CP080485.1,1102000,1129000,16,703934,0.000022729403608861056,5.208476909975228
CP080487.1,5256000,5278000,19,751644,0.000025277924123654284,6.327890683854587
CP080482.1,4238000,4260000,20,767096,0.0000260723560023778,5.557460409552545
CP080488.1,2959000,2981000,23,673399,0.000034155084875385915,6.51311556801378
CP080483.1,246000,270000,19,749712,0.000025343065070320335,6.4483769202453525
CP080485.1,3975000,3997000,18,703934,0.00002557057905996869,6.005734165225821
CP080485.1,2165000,2187000,18,703934,0.00002557057905996869,6.005734165225821
CP080482.1,3126000,3150000,26,767096,0.00003389406280309114,7.519224183794117
CP080485.1,6346000,6368000,17,703934,0.000024149991334414875,5.607105537600524
CP080487.1,2596000,2618000,16,751644,0.000021286672946235187,5.147219629862248
CP080487.1,5692000,5714000,24,751644,0.00003193000941935278,8.29567577384182
CP080488.1,4576000,4611000,71,673399,0.00010543526200662608,22.14100938102195
CP080487.1,4570000,4592000,17,751644,0.000022617090005374885,5.540776647859695
CP080487.1,4165000,4187000,19,751644,0.000025277924123654284,6.327890683854587
CP080486.1,1054000,1077000,26,748843,0.00003472022840568717,5.568077671236767
CP080487.1,3060000,3083000,20,751644,0.000026608341182793982,6.721447701852034
CP080482.1,5398000,5420000,19,767096,0.000024768738202258907,5.230499780512282
CP080482.1,351000,375000,65,767096,0.00008473515700772784,20.270688716364337
CP080483.1,6661000,6682000,16,749712,0.000021341528480269757,5.244792736093991
CP080488.1,3946000,3968000,30,673399,0.00004455011070702511,8.792183415744137
CP080482.1,1727000,1752000,35,767096,0.000045626623004161145,10.461869845156476
CP080485.1,104000,126000,16,703934,0.000022729403608861056,5.208476909975228
CP080483.1,5270000,5299000,18,749712,0.000024009219540303478,6.0471821921948985
CP080488.1,483000,507000,20,673399,0.000029700073804683404,5.536372204700769
CP080485.1,576000,617000,26,703934,0.00003693528086439922,9.194763186228192
CP080487.1,6081000,6103000,17,751644,0.000022617090005374885,5.540776647859695
CP080485.1,3679000,3701000,17,703934,0.000024149991334414875,5.607105537600524
CP080483.1,177000,199000,23,749712,0.000030678447190387775,8.053155832447167
CP080485.1,4446000,4470000,18,703934,0.00002557057905996869,6.005734165225821
CP080482.1,2531000,2553000,21,767096,0.00002737597380249669,5.884421038592807
CP080487.1,802000,826000,19,751644,0.000025277924123654284,6.327890683854587
