reference_name,start_range,end_range,count,total_count,proportion,z_score
NW_004457554.1,624000,646000,363,4755,0.07634069400630915,5.095368284135838
NW_004457554.1,202000,223000,421,4755,0.08853838065194532,5.957348448920871
NW_004457554.1,201000,223000,681,4755,0.14321766561514196,9.821397463474465
NW_004457406.1,242000,266000,1330,3738,0.35580524344569286,5.503277304280211
NW_004457380.1,175000,208000,532,6647,0.08003610651421694,6.261488043856758
NW_004457268.1,196000,222000,590,6537,0.09025546886951201,5.136622786130623
NW_004457592.1,524000,546000,516,3977,0.1297460397284385,5.078519341752081
NW_004457538.1,442000,470000,726,4246,0.17098445595854922,6.592014098069523
NW_004457532.1,596000,617000,527,5921,0.08900523560209424,5.246579140812159
NW_004457596.1,166000,191000,1071,7139,0.15002101134612691,7.19368725643619
NW_004457260.1,228000,249000,889,3103,0.2864969384466645,5.162850917077131
NW_004457586.1,531000,553000,754,6235,0.12093023255813953,5.615534837859073
NW_004457532.1,722000,745000,819,5921,0.1383212295220402,8.374637702934962
NW_004457618.1,5000,27000,549,2116,0.2594517958412098,7.8318517160232775
NW_004457416.1,23000,86000,341,1767,0.19298245614035087,6.1252089732094
NW_004457498.1,31000,54000,413,1553,0.2659368963296845,5.088787202520355
NW_004457442.1,1684000,1705000,2083,4653,0.4476681710724264,10.872543191282423
NW_004457297.1,263000,321000,767,4509,0.17010423597249943,5.408021327404498
NW_004457674.1,49000,72000,744,2940,0.2530612244897959,6.3494004005139555
NW_004457380.1,185000,209000,438,6647,0.06589438844591546,5.073584948230363
NW_004457268.1,195000,221000,646,6537,0.09882208964356738,5.659959173221995
NW_004457342.1,66000,90000,1381,1831,0.7542326597487712,5.952764958931861
NW_004457518.1,379000,401000,524,2184,0.23992673992673993,5.2053615270761044
NW_004457380.1,964000,990000,495,6647,0.07446968557243869,5.7939091657910495
NW_004457260.1,39000,61000,958,3103,0.308733483725427,5.587070502298178
NW_004457584.1,637000,679000,1198,4622,0.2591951536131545,6.1074847116760305
NW_004457586.1,598000,619000,844,6235,0.13536487570168404,6.332904246789239
NW_004457712.1,851000,873000,178,3481,0.05113473139902327,5.283787797761323
NW_004457466.1,496000,524000,454,1871,0.2426509887760556,5.657540895948548
NW_004457343.1,140000,163000,536,2365,0.2266384778012685,5.564347301813974
NW_004457270.1,147000,169000,1335,4975,0.26834170854271355,5.305754650831881
NW_004457431.1,462000,483000,299,1398,0.21387696709585122,5.242146752745413
NW_004457712.1,0,17000,266,3481,0.07641482332663029,8.12773382820856
NW_004457363.1,57000,159000,911,3448,0.26421113689095127,5.147151905081797
NW_004457323.1,142000,164000,774,5977,0.12949640287769784,7.501810587214816
NW_004457268.1,369000,392000,782,6537,0.11962674009484472,6.930918970443897
