reference_name,start_range,end_range,count,total_count,proportion,z_score
NC_067197.1,47169000,47220000,643,485108,0.0013254780378802245,55.59289679394048
NC_067197.1,21117000,21236000,62,485108,0.0001278065915218879,5.080981806388029
NC_067195.1,50825000,50846000,56,806020,0.00006947718418897794,5.626440637685644
NC_067199.1,8317000,8338000,51,439183,0.00011612471338826867,6.072168324604761
NC_067200.1,6432000,6460000,62,349224,0.0001775364808833299,5.382878112007314
NC_067196.1,34172000,34197000,104,1091930,0.00009524420063557188,8.223732283307026
NC_067196.1,57227000,57268000,78,1091930,0.0000714331504766789,6.085811305041423
NC_067200.1,21293000,21404000,119,349224,0.00034075550363090736,10.7084738832209
NC_067200.1,9456000,9488000,69,349224,0.00019758092227338328,6.0368986453142455
NC_067200.1,16741000,16770000,83,349224,0.00023766980505349002,7.344939711928109
NC_067195.1,55665000,55699000,52,806020,0.00006451452817547952,5.197631459854014
NC_067199.1,41796000,41820000,51,439183,0.00011612471338826867,6.072168324604761
NC_067198.1,43867000,43920000,85,509057,0.00016697540746910463,5.383792903505798
NC_067200.1,9455000,9476000,58,349224,0.00016608251437472796,5.009152092974782
NC_067195.1,50827000,50852000,138,806020,0.00017121163246569564,14.417028783234064
NC_067195.1,31965000,31991000,51,806020,0.00006327386417210492,5.090429165396106
NC_067197.1,1824000,1862000,65,485108,0.00013399078143423731,5.3418006445337385
NC_067195.1,56510000,56535000,100,806020,0.0001240664003374606,10.343341593833577
NC_067199.1,41456000,41482000,46,439183,0.00010473993756588939,5.432788387095812
NC_067195.1,37104000,37129000,63,806020,0.00007816183221260018,6.376856698890997
NC_067197.1,32278000,32299000,114,485108,0.00023499921666927777,9.60184166758033
NC_067199.1,41485000,41574000,45,439183,0.00010246298240141354,5.304912399594022
NC_067196.1,39363000,39446000,110,1091930,0.00010073905836454718,8.717098662906782
NC_067195.1,37658000,37680000,51,806020,0.00006327386417210492,5.090429165396106
NC_067195.1,85253000,85274000,65,806020,0.00008064316021934939,6.5912612878068115
NC_067199.1,8293000,8316000,86,439183,0.00019581814414492365,10.547827887167408
NC_067197.1,41052000,41077000,83,485108,0.00017109592090833382,6.906713673407997
NC_067199.1,38963000,38997000,43,439183,0.00009790907207246182,5.049160424590442
NC_067195.1,75782000,75805000,62,806020,0.00007692116820922558,6.269654404433089
NC_067199.1,26881000,26962000,56,439183,0.00012750948921064795,6.711548262113711
NC_067199.1,41457000,41483000,72,439183,0.00016394077184226166,8.757564062142349
NC_067195.1,56641000,56663000,76,806020,0.00009429046425647007,7.770486526843795
NC_067200.1,10058000,10080000,93,349224,0.00026630472132499483,8.27925475950944
NC_067196.1,2154000,2175000,178,1091930,0.00016301411262626726,14.308584298370668
NC_067199.1,46478000,46587000,44,439183,0.00010018602723693767,5.177036412092232
NC_067195.1,19364000,19403000,55,806020,0.00006823652018560333,5.5192383432277365
NC_067196.1,42476000,42511000,74,1091930,0.00006776991199069537,5.756900385308253
NC_067197.1,20942000,20994000,63,485108,0.0001298679881593377,5.167921419103266
NC_067199.1,41559000,41657000,49,439183,0.00011157080305931695,5.816416349601181
