query_name,chromosome,position,reference_end,length,cigar,coverage
SRR14041381.28384869,NW_003526940.1,1334722,1334847,113909,125M,176
SRR14041381.16541164,NW_003526940.1,1334725,1334850,113905,125M,178
SRR14041381.8178765,NW_003526940.1,1334735,1334860,113888,125M,180
SRR14041381.30481588,NW_003526940.1,1334758,1334883,113832,125M,196
SRR14041381.22859918,NW_003526940.1,1334759,1334884,113824,125M,197
SRR14041381.24460383,NW_003526940.1,1334759,1334884,113859,125M,197
SRR14041381.14623392,NW_003526940.1,1335106,1335208,83287,3S70M6I32M14S,246
SRR14041381.21910614,NW_003526940.1,1335106,1335208,83304,5S70M6I32M12S,246
SRR14041381.33015628,NW_003526940.1,1335107,1335226,105419,69M6I50M,246
SRR14041381.23797235,NW_003526940.1,1335108,1335227,105418,68M6I51M,246
SRR14041381.26608129,NW_003526940.1,1335108,1335227,105427,68M6I51M,246
SRR14041381.13691676,NW_003526940.1,1335121,1335240,105405,55M6I64M,247
SRR14041381.1036517,NW_003526940.1,1335144,1335263,105360,32M6I87M,282
SRR14041381.28772927,NW_003526940.1,1335176,1335273,105272,10H97M18H,286
SRR14041381.13277772,NW_003526940.1,1335542,1335667,8701,125M,198
SRR14041381.16852497,NW_003526940.1,1335542,1335667,96776,125M,198
SRR14041381.3744796,NW_003526940.1,1335547,1335672,96737,125M,206
SRR14041381.36760,NW_003526940.1,1335562,1335680,104725,7S118M,216
SRR14041381.6448105,NW_003526940.1,1335562,1335680,104699,7S118M,216
SRR14041381.9793875,NW_003526940.1,1335562,1335681,104717,6S119M,216
SRR14041381.10286287,NW_003526940.1,1335562,1335680,104691,7S118M,216
SRR14041381.15491426,NW_003526940.1,1335562,1335687,104712,125M,216
SRR14041381.29402089,NW_003526940.1,1335562,1335683,104706,4S121M,216
SRR14041381.31015736,NW_003526940.1,1335562,1335677,104735,10S115M,216
SRR14041381.12406759,NW_003526940.1,1335563,1335688,96757,125M,226
SRR14041381.9405118,NW_003526940.1,1335571,1335696,104690,125M,243
SRR14041381.16046702,NW_003526940.1,1335571,1335696,104698,125M,243
SRR14041381.23670226,NW_003526940.1,1335571,1335696,92320,125M,243
SRR14041381.10848617,NW_003526940.1,1335581,1335706,104642,125M,258
SRR14041381.9483514,NW_003526940.1,1335582,1335707,96741,125M,260
SRR14041381.529831,NW_003526940.1,1335597,1335722,8618,125M,269
SRR14041381.7818733,NW_003526940.1,1335597,1335722,104507,125M,269
SRR14041381.9244133,NW_003526940.1,1335598,1335723,8633,125M,271
SRR14041381.17863044,NW_003526940.1,1335598,1335723,8627,125M,271
SRR14041381.19553260,NW_003526940.1,1335598,1335723,96684,125M,271
SRR14041381.22012353,NW_003526940.1,1335598,1335723,8618,125M,271
SRR14041381.27408799,NW_003526940.1,1335598,1335723,96674,125M,271
SRR14041381.27790234,NW_003526940.1,1335598,1335723,96679,125M,271
SRR14041381.26532887,NW_003526940.1,1335598,1335715,104644,8S117M,271
SRR14041381.677414,NW_003526940.1,1335604,1335729,104624,125M,285
SRR14041381.15201053,NW_003526940.1,1335605,1335730,8610,125M,286
SRR14041381.21239763,NW_003526940.1,1335605,1335730,8588,125M,286
SRR14041381.21029600,NW_003526940.1,1335606,1335731,96681,125M,287
SRR14041381.24898976,NW_003526940.1,1335606,1335731,96663,125M,287
SRR14041381.23546583,NW_003526940.1,1335607,1335732,8574,125M,287
SRR14041381.2586649,NW_003526940.1,1335608,1335733,96665,125M,292
SRR14041381.19683902,NW_003526940.1,1335609,1335734,92014,125M,293
SRR14041381.28239073,NW_003526940.1,1335609,1335724,96664,115M10S,293
SRR14041381.14114215,NW_003526940.1,1335610,1335724,82062,114M11S,293
SRR14041381.4005758,NW_003526940.1,1335611,1335724,82062,113M12S,295
SRR14041381.6054488,NW_003526940.1,1335612,1335731,96661,119M6S,301
