chromosome,position,coverage
NW_003526945.1,1050567,81
NW_003526945.1,1050568,84
NW_003526945.1,1050570,89
NW_003526945.1,1050573,97
NW_003526945.1,1050574,104
NW_003526945.1,1050575,107
NW_003526945.1,1050576,111
NW_003526945.1,1050577,114
NW_003526945.1,1050578,118
NW_003526945.1,1050579,119
NW_003526945.1,1050580,123
NW_003526945.1,1050581,125
NW_003526945.1,1050582,129
NW_003526945.1,1050583,132
NW_003526945.1,1050584,136
NW_003526945.1,1050586,140
NW_003526945.1,1050587,142
NW_003526945.1,1050588,147
NW_003526945.1,1050593,156
NW_003526945.1,1050594,157
NW_003526945.1,1050595,158
NW_003526945.1,1050596,162
NW_003526945.1,1050598,167
NW_003526945.1,1050599,168
NW_003526945.1,1050600,170
NW_003526945.1,1050602,175
NW_003526945.1,1050603,177
NW_003526945.1,1050606,181
NW_003526945.1,1050607,186
NW_003526945.1,1050612,191
NW_003526945.1,1050613,192
NW_003526945.1,1050614,195
NW_003526945.1,1050616,204
NW_003526945.1,1050622,216
NW_003526945.1,1050624,221
NW_003526945.1,1050629,232
NW_003526945.1,1050638,249
NW_003526945.1,1050645,267
NW_003526945.1,1051456,384
NW_003526945.1,1051459,390
NW_003526945.1,1051463,404
NW_003526945.1,1051475,436
NW_003526945.1,1051478,446
NW_003526945.1,1051483,453
NW_003526945.1,1051485,462
NW_003526945.1,1051488,465
NW_003526945.1,1051489,467
NW_003526945.1,1051491,473
NW_003526945.1,1051492,478
NW_003526945.1,1051494,477
NW_003526945.1,1051497,489
NW_003526945.1,1051498,495
NW_003526945.1,1051500,495
NW_003526945.1,1051501,495
NW_003526945.1,1051511,514
NW_003526945.1,1051513,519
NW_003526945.1,1051515,526
NW_003526945.1,1051564,566
NW_003526945.1,1051638,572
NW_003526945.1,1051646,568
NW_003526945.1,1051648,574
NW_003526945.1,1051651,576
NW_003526945.1,1051652,579
NW_003526945.1,1051653,582
NW_003526945.1,1051657,578
NW_003526945.1,1051662,568
NW_003526945.1,1051856,94
NW_003526945.1,1051857,98
NW_003526945.1,1051858,99
NW_003526945.1,1051859,99
NW_003526945.1,1051861,98
NW_003526945.1,1051862,97
NW_003526945.1,1051863,100
NW_003526945.1,1051866,98
NW_003526945.1,1051867,99
NW_003526945.1,1051870,101
NW_003526945.1,1051871,110
NW_003526945.1,1051872,112
NW_003526945.1,1051873,115
NW_003526945.1,1051876,112
NW_003526945.1,1051878,114
NW_003526945.1,1051882,122
NW_003526945.1,1051883,124
NW_003526945.1,1051885,126
NW_003526945.1,1051888,135
NW_003526945.1,1051889,137
NW_003526945.1,1051894,146
NW_003526945.1,1051895,149
NW_003526945.1,1051898,152
NW_003526945.1,1051903,158
NW_003526945.1,1051904,161
NW_003526945.1,1051905,165
NW_003526945.1,1051907,169
NW_003526945.1,1051909,174
NW_003526945.1,1051914,183
NW_003526945.1,1051920,193
NW_003526945.1,1051925,200
NW_003526945.1,1052027,260
NW_003526945.1,1052131,244
NW_003526945.1,1052340,126
NW_003526945.1,1052483,290
NW_003526945.1,1052499,376
NW_003526945.1,1052508,397
NW_003526945.1,1052522,443
NW_003526945.1,1058046,507
NW_003526945.1,1058055,501
NW_003526945.1,1058061,503
NW_003526945.1,1058963,4
NW_003526945.1,1058964,99
NW_003526945.1,1058965,107
NW_003526945.1,1058966,115
NW_003526945.1,1058967,124
NW_003526945.1,1058969,146
NW_003526945.1,1058971,162
NW_003526945.1,1058975,192
NW_003526945.1,1058979,217
NW_003526945.1,1058980,234
NW_003526945.1,1058984,264
NW_003526945.1,1058985,272
NW_003526945.1,1059001,307
NW_003526945.1,1059002,446
NW_003526945.1,1059003,457
NW_003526945.1,1059004,465
NW_003526945.1,1059005,482
NW_003526945.1,1059006,492
NW_003526945.1,1059007,503
NW_003526945.1,1059008,513
NW_003526945.1,1059009,519
NW_003526945.1,1059010,533
NW_003526945.1,1059011,542
NW_003526945.1,1059012,552
NW_003526945.1,1059013,568
NW_003526945.1,1059014,579
NW_003526945.1,1059015,588
NW_003526945.1,1059016,607
NW_003526945.1,1059017,616
NW_003526945.1,1059018,627
NW_003526945.1,1059019,637
NW_003526945.1,1059020,644
NW_003526945.1,1059021,661
NW_003526945.1,1059022,676
NW_003526945.1,1059023,684
NW_003526945.1,1059024,694
NW_003526945.1,1059025,705
NW_003526945.1,1059026,724
NW_003526945.1,1059027,731
NW_003526945.1,1059031,770
NW_003526945.1,1059036,797
NW_003526945.1,1059043,871
NW_003526945.1,1059044,882
NW_003526945.1,1059045,892
NW_003526945.1,1059047,907
NW_003526945.1,1059051,945
NW_003526945.1,1059360,76
NW_003526945.1,1059382,91
NW_003526945.1,1059403,108
NW_003526945.1,1059410,113
NW_003526945.1,1060437,130
NW_003526945.1,1060895,133
NW_003526945.1,1064500,107
NW_003526945.1,1067591,115
NW_003526945.1,1087987,94
NW_003526945.1,1088010,110
NW_003526945.1,1088013,112
NW_003526945.1,1088020,120
NW_003526945.1,1088021,122
NW_003526945.1,1088026,123
NW_003526945.1,1088027,126
NW_003526945.1,1088032,135
NW_003526945.1,1088035,143
NW_003526945.1,1088036,144
NW_003526945.1,1088040,145
NW_003526945.1,1088051,162
NW_003526945.1,1088052,167
NW_003526945.1,1088054,180
NW_003526945.1,1088057,187
NW_003526945.1,1088058,190
NW_003526945.1,1088064,210
NW_003526945.1,1088066,221
NW_003526945.1,1088073,243
NW_003526945.1,1088074,250
NW_003526945.1,1088076,259
NW_003526945.1,1088090,308
NW_003526945.1,1088099,322
NW_003526945.1,1088104,331
NW_003526945.1,1088105,335
NW_003526945.1,1088115,349
NW_003526945.1,1088116,352
NW_003526945.1,1088117,353
NW_003526945.1,1088121,350
NW_003526945.1,1088125,358
NW_003526945.1,1088127,355
NW_003526945.1,1088131,358
NW_003526945.1,1088132,363
NW_003526945.1,1088133,368
NW_003526945.1,1088173,378
NW_003526945.1,1088296,96
NW_003526945.1,1088302,86
NW_003526945.1,1088303,85
NW_003526945.1,1088306,84
NW_003526945.1,1088316,64
NW_003526945.1,1088319,55
NW_003526945.1,1088329,57
NW_003526945.1,1088336,69
NW_003526945.1,1088337,70
NW_003526945.1,1088343,80
NW_003526945.1,1088346,84
NW_003526945.1,1088355,93
NW_003526945.1,1088373,111
NW_003526945.1,1090189,22
NW_003526945.1,1090193,25
NW_003526945.1,1090194,26
NW_003526945.1,1090198,32
NW_003526945.1,1090199,34
NW_003526945.1,1090200,37
NW_003526945.1,1090210,42
NW_003526945.1,1090219,44
NW_003526945.1,1090222,46
NW_003526945.1,1090223,47
NW_003526945.1,1090470,114
NW_003526945.1,1093185,85
NW_003526945.1,1093187,85
NW_003526945.1,1093193,85
NW_003526945.1,1094369,118
NW_003526945.1,1095359,101
NW_003526945.1,1095368,98
NW_003526945.1,1095370,100
NW_003526945.1,1095382,96
NW_003526945.1,1095388,95
NW_003526945.1,1095393,96
NW_003526945.1,1095395,99
NW_003526945.1,1095396,100
NW_003526945.1,1095398,101
NW_003526945.1,1095406,100
NW_003526945.1,1095411,99
NW_003526945.1,1095418,93
NW_003526945.1,1095425,87
NW_003526945.1,1095426,89
NW_003526945.1,1095430,91
NW_003526945.1,1095432,90
NW_003526945.1,1095436,91
NW_003526945.1,1095437,92
NW_003526945.1,1095438,92
NW_003526945.1,1095602,2
NW_003526945.1,1095603,36
NW_003526945.1,1095604,37
NW_003526945.1,1095606,38
NW_003526945.1,1095609,41
NW_003526945.1,1095610,42
NW_003526945.1,1095612,44
NW_003526945.1,1095617,49
NW_003526945.1,1095619,52
NW_003526945.1,1095620,53
NW_003526945.1,1095621,55
NW_003526945.1,1095623,59
NW_003526945.1,1095624,61
NW_003526945.1,1095628,66
NW_003526945.1,1095629,67
NW_003526945.1,1095632,73
NW_003526945.1,1095634,75
NW_003526945.1,1095637,77
NW_003526945.1,1095639,79
NW_003526945.1,1095642,84
NW_003526945.1,1095644,88
NW_003526945.1,1095654,93
NW_003526945.1,1095660,100
NW_003526945.1,1095677,122
NW_003526945.1,1095681,124
NW_003526945.1,1096577,106
NW_003526945.1,1096578,110
NW_003526945.1,1096579,113
NW_003526945.1,1096581,115
NW_003526945.1,1096585,121
NW_003526945.1,1096586,124
NW_003526945.1,1096969,130
NW_003526945.1,1096979,140
NW_003526945.1,1096985,139
NW_003526945.1,1096989,136
NW_003526945.1,1096997,134
NW_003526945.1,1097001,133
NW_003526945.1,1106602,22
NW_003526945.1,1106607,44
NW_003526945.1,1106608,59
NW_003526945.1,1106609,71
NW_003526945.1,1106611,99
NW_003526945.1,1106612,331
NW_003526945.1,1106613,358
NW_003526945.1,1106614,387
NW_003526945.1,1106615,425
NW_003526945.1,1106616,463
NW_003526945.1,1106617,481
NW_003526945.1,1106618,499
NW_003526945.1,1106619,540
NW_003526945.1,1106620,577
NW_003526945.1,1106621,612
NW_003526945.1,1106623,648
NW_003526945.1,1106624,821
NW_003526945.1,1106625,858
NW_003526945.1,1106626,905
NW_003526945.1,1106627,959
NW_003526945.1,1106628,1001
NW_003526945.1,1106629,1044
NW_003526945.1,1106630,1087
NW_003526945.1,1106631,1130
NW_003526945.1,1106632,1173
NW_003526945.1,1106633,1228
NW_003526945.1,1106634,1282
NW_003526945.1,1106635,1312
NW_003526945.1,1106636,1338
NW_003526945.1,1106637,1350
NW_003526945.1,1106638,1365
NW_003526945.1,1106639,1389
NW_003526945.1,1106640,1421
NW_003526945.1,1106641,1454
NW_003526945.1,1106642,1490
NW_003526945.1,1106643,1523
NW_003526945.1,1106644,1549
NW_003526945.1,1106645,1577
NW_003526945.1,1106646,1595
NW_003526945.1,1106647,1627
NW_003526945.1,1106648,1654
NW_003526945.1,1106649,1673
NW_003526945.1,1106650,1697
NW_003526945.1,1106651,1731
NW_003526945.1,1106652,1752
NW_003526945.1,1106653,1776
NW_003526945.1,1106654,1791
NW_003526945.1,1106655,1802
NW_003526945.1,1106656,1809
NW_003526945.1,1106657,1821
NW_003526945.1,1106658,1826
NW_003526945.1,1106659,1839
NW_003526945.1,1106660,1851
NW_003526945.1,1106661,1865
NW_003526945.1,1106662,1877
NW_003526945.1,1106663,1887
NW_003526945.1,1106664,1895
NW_003526945.1,1106665,1908
NW_003526945.1,1106666,1915
NW_003526945.1,1106667,1929
NW_003526945.1,1106668,1934
NW_003526945.1,1106669,1949
NW_003526945.1,1106670,1969
NW_003526945.1,1106671,1977
NW_003526945.1,1106672,1988
NW_003526945.1,1106673,1998
NW_003526945.1,1106674,2015
NW_003526945.1,1106675,2025
NW_003526945.1,1106676,2027
NW_003526945.1,1106679,2041
NW_003526945.1,1106681,2049
NW_003526945.1,1106683,2061
NW_003526945.1,1106694,2119
NW_003526945.1,1106798,376
NW_003526945.1,1106812,401
NW_003526945.1,1106813,405
NW_003526945.1,1106976,1052
NW_003526945.1,1106982,1090
NW_003526945.1,1106989,1133
NW_003526945.1,1106993,1144
NW_003526945.1,1106994,1149
NW_003526945.1,1106996,1154
NW_003526945.1,1107026,1284
NW_003526945.1,1107037,1351
NW_003526945.1,1107044,1389
NW_003526945.1,1107070,1631
NW_003526945.1,1107085,1618
NW_003526945.1,1107134,1365
NW_003526945.1,2144538,112
NW_003526945.1,2146582,116
NW_003526945.1,2146589,112
NW_003526945.1,2146598,109
NW_003526945.1,2146601,113
NW_003526945.1,2146604,114
NW_003526945.1,2146609,110
NW_003526945.1,2146616,111
NW_003526945.1,2146617,111
NW_003526945.1,2146625,107
NW_003526945.1,2146626,107
NW_003526945.1,2146627,107
NW_003526945.1,2146629,107
NW_003526945.1,2146633,102
NW_003526945.1,2146634,106
NW_003526945.1,2146635,105
NW_003526945.1,2146636,105
NW_003526945.1,2146637,104
NW_003526945.1,2146638,105
NW_003526945.1,2146639,107
NW_003526945.1,2146640,107
NW_003526945.1,2146641,109
NW_003526945.1,2146643,106
NW_003526945.1,2146648,105
NW_003526945.1,2146650,105
NW_003526945.1,2146652,106
NW_003526945.1,2146653,107
NW_003526945.1,2146654,108
NW_003526945.1,2146655,109
NW_003526945.1,2146656,108
NW_003526945.1,2147522,132
NW_003526945.1,2150495,299
NW_003526945.1,2150497,306
NW_003526945.1,2150498,309
NW_003526945.1,2150510,346
NW_003526945.1,2150656,499
NW_003526945.1,2150660,483
NW_003526945.1,2150664,482
NW_003526945.1,2150674,549
NW_003526945.1,2150675,556
NW_003526945.1,2150680,592
NW_003526945.1,2150686,647
NW_003526945.1,2150688,654
NW_003526945.1,2150696,746
NW_003526945.1,2150703,820
NW_003526945.1,2150727,1082
NW_003526945.1,2150756,1081
NW_003526945.1,2150769,1152
NW_003526945.1,2150853,1024
NW_003526945.1,2151216,222
NW_003526945.1,2151708,498
NW_003526945.1,2151709,495
NW_003526945.1,2151721,508
NW_003526945.1,2152698,8
NW_003526945.1,2152699,150
NW_003526945.1,2152700,158
NW_003526945.1,2152701,168
NW_003526945.1,2152702,173
NW_003526945.1,2152703,179
NW_003526945.1,2152704,185
NW_003526945.1,2152705,196
NW_003526945.1,2152706,206
NW_003526945.1,2152707,219
NW_003526945.1,2152708,227
NW_003526945.1,2152709,234
